Procedures,URL,Tactic1,Tactic2,Tactic3,Tactic4
"APT41 has encrypted payloads using the Data Protection API (DPAPI), which relies on keys tied to specific user accounts on specific machines. APT41 has also environmentally keyed second stage malware with an RC5 key derived in part from the infected system's volume serial number.",https://attack.mitre.org//techniques/T1480/001,DEFENSE_EVASION,,,
Kinsing was executed with an Ubuntu container entry point that runs shell scripts.,https://attack.mitre.org//techniques/T1609,EXECUTION,,,
Carbanak stores a configuration files in the startup directory to automatically execute commands in order to persist across reboots.,https://attack.mitre.org//techniques/T1547/001,PERSISTENCE,PRIVILEGE_ESCALATION,,
"Sandworm Team has pushed additional malicious tools onto an infected system to steal user credentials, move laterally, and destroy data.",https://attack.mitre.org//techniques/T1105,COMMAND_AND_CONTROL,,,
SDBbot has the ability to identify the user on a compromised host.,https://attack.mitre.org//techniques/T1033,DISCOVERY,,,
HOPLIGHT has used svchost.exe to execute a malicious DLL .,https://attack.mitre.org//techniques/T1569/002,EXECUTION,,,
"During the SolarWinds Compromise, APT29 added their own devices as allowed IDs for active sync using Set-CASMailbox, allowing it to obtain copies of victim mailboxes. It also added additional permissions (such as Mail.Read and Mail.ReadWrite) to compromised Application or Service Principals.",https://attack.mitre.org//techniques/T1098/002,PERSISTENCE,PRIVILEGE_ESCALATION,,
The BlackEnergy component KillDisk is capable of deleting Windows Event Logs.,https://attack.mitre.org//techniques/T1070/001,DEFENSE_EVASION,,,
PoetRAT has executed a Lua script through a Lua interpreter for Windows.,https://attack.mitre.org//techniques/T1059,EXECUTION,,,
StrongPity has named services to appear legitimate.,https://attack.mitre.org//techniques/T1036/004,DEFENSE_EVASION,,,
PoisonIvy creates a backdoor through which remote attackers can upload files.,https://attack.mitre.org//techniques/T1105,COMMAND_AND_CONTROL,,,
ShadowPad has deleted arbitrary Registry values.,https://attack.mitre.org//techniques/T1070,DEFENSE_EVASION,,,
"Flame can create backdoor accounts with login ""HelpAssistant"" on domain connected systems if appropriate rights are available.",https://attack.mitre.org//techniques/T1136/001,PERSISTENCE,,,
RDAT can take a screenshot on the infected system.,https://attack.mitre.org//techniques/T1113,COLLECTION,,,
Reg may be used to interact with and modify the Windows Registry of a local or remote system at the command-line interface.,https://attack.mitre.org//techniques/T1112,DEFENSE_EVASION,,,
Get2 has the ability to identify running processes on an infected host.,https://attack.mitre.org//techniques/T1057,DISCOVERY,,,
SUNBURST created VBScripts that were named after existing services or folders to blend into legitimate activities.,https://attack.mitre.org//techniques/T1036/005,DEFENSE_EVASION,,,
"Chimera has used fsutil fsinfo drives, systeminfo, and vssadmin list shadows for system information including shadow volumes and drive information.",https://attack.mitre.org//techniques/T1082,DISCOVERY,,,
FunnyDream has compressed collected files with zLib and encrypted them using an XOR operation with the string key from the command line or qwerasdf if the command line argument doesn’t contain the key. File names are obfuscated using XOR with the same key as the compressed file content.,https://attack.mitre.org//techniques/T1560/003,COLLECTION,,,
